Language,True positive,False positive,False negative,Precision,Recall,F1
Hindi,22,0,0,1,1,1
Bokmål,21,0,1,1,0.9545454545,0.976744186
German,22,0,1,1,0.9565217391,0.9777777778
Russian,25,0,0,1,1,1
Finnish,19,0,0,1,1,1
Portuguese,23,0,0,1,1,1
Bulgarian,16,0,0,1,1,1
Lithuanian,21,0,0,1,1,1
Croatian,21,0,1,1,0.9545454545,0.976744186
Bengali,31,0,3,1,0.9117647059,0.9538461538
French,17,0,1,1,0.9444444444,0.9714285714
Hungarian,24,0,0,1,1,1
Georgian,21,0,0,1,1,1
Ukrainian,29,0,0,1,1,1
Slovak,26,0,0,1,1,1
Slovene,22,0,2,1,0.9166666667,0.9565217391
Indonesian,20,2,3,0.9090909091,0.8695652174,0.8888888889
Macedonian,18,0,0,1,1,1
Catalan,24,0,0,1,1,1
Swedish,30,0,0,1,1,1
Korean,15,0,0,1,1,1
Galician,21,0,0,1,1,1
Malay,20,1,2,0.9523809524,0.9090909091,0.9302325581
Modern Greek,24,0,0,1,1,1
English,21,15,0,0.5833333333,1,0.7368421053
Italian,21,2,1,0.9130434783,0.9545454545,0.9333333333
Tamil,15,0,1,1,0.9375,0.9677419355
Spanish,18,0,0,1,1,1
Standard Chinese,15,0,4,1,0.7894736842,0.8823529412
Estonian,23,0,0,1,1,1
Czech,34,0,0,1,1,1
Telugu,24,0,0,1,1,1
Arabic,22,0,0,1,1,1
Vietnamese,28,0,0,1,1,1
Thai,19,0,0,1,1,1
Japanese,19,0,0,1,1,1
Azerbaijani,14,0,1,1,0.9333333333,0.9655172414
Persian,26,2,0,0.9285714286,1,0.962962963
Polish,24,0,1,1,0.96,0.9795918367
Hebrew,24,0,0,1,1,1
Romanian,31,1,0,0.96875,1,0.9841269841
Danish,21,0,1,1,0.9545454545,0.976744186
Dutch,22,0,0,1,1,1
Turkish,24,0,0,1,1,1
Macro Precision,0.9830720478,,,,,
Micro Precision,0.977,,,,,
Macro Recall,0.9760577845,,,,,
Micro Recall,0.977,,,,,
Macro F1,0.9777590361,,,,,
Micro F1,0.977,,,,,
