Language,True positive,False positive,False negative,Precision,Recall,F1
Hindi,20,2,2,0.9090909091,0.9090909091,0.9090909091
Bokmål,7,9,15,0.4375,0.3181818182,0.3684210526
German,12,13,11,0.48,0.5217391304,0.5
Russian,16,6,9,0.7272727273,0.64,0.6808510638
Finnish,14,14,5,0.5,0.7368421053,0.5957446809
Portuguese,5,10,18,0.3333333333,0.2173913043,0.2631578947
Bulgarian,8,8,8,0.5,0.5,0.5
Lithuanian,19,4,2,0.8260869565,0.9047619048,0.8636363636
Croatian,10,15,12,0.4,0.4545454545,0.4255319149
Bengali,25,0,9,1,0.7352941176,0.8474576271
French,1,11,17,0.0833333333,0.0555555556,0.0666666667
Hungarian,12,4,12,0.75,0.5,0.6
Georgian,17,0,4,1,0.8095238095,0.8947368421
Ukrainian,17,5,12,0.7727272727,0.5862068966,0.6666666667
Slovak,7,6,19,0.5384615385,0.2692307692,0.358974359
Slovene,7,6,17,0.5384615385,0.2916666667,0.3783783784
Indonesian,7,20,16,0.2592592593,0.3043478261,0.28
Macedonian,10,7,8,0.5882352941,0.5555555556,0.5714285714
Catalan,5,15,19,0.25,0.2083333333,0.2272727273
Swedish,4,16,26,0.2,0.1333333333,0.16
Korean,15,0,0,1,1,1
Galician,6,11,15,0.3529411765,0.2857142857,0.3157894737
Malay,5,9,17,0.3571428571,0.2272727273,0.2777777778
Modern Greek,16,1,8,0.9411764706,0.6666666667,0.7804878049
English,6,29,15,0.1714285714,0.2857142857,0.2142857143
Italian,8,21,14,0.275862069,0.3636363636,0.3137254902
Tamil,14,0,2,1,0.875,0.9333333333
Spanish,5,9,13,0.3571428571,0.2777777778,0.3125
Standard Chinese,2,0,17,1,0.1052631579,0.1904761905
Estonian,13,41,10,0.2407407407,0.5652173913,0.3376623377
Czech,19,24,15,0.4418604651,0.5588235294,0.4935064935
Telugu,21,0,3,1,0.875,0.9333333333
Arabic,14,2,8,0.875,0.6363636364,0.7368421053
Vietnamese,15,1,13,0.9375,0.5357142857,0.6818181818
Thai,16,0,3,1,0.8421052632,0.9142857143
Japanese,19,93,0,0.1696428571,1,0.2900763359
Azerbaijani,12,15,3,0.4444444444,0.8,0.5714285714
Persian,22,2,4,0.9166666667,0.8461538462,0.88
Polish,11,12,14,0.4782608696,0.44,0.4583333333
Hebrew,22,0,2,1,0.9166666667,0.9565217391
Romanian,12,7,19,0.6315789474,0.3870967742,0.48
Danish,9,8,13,0.5294117647,0.4090909091,0.4615384615
Dutch,16,10,6,0.6153846154,0.7272727273,0.6666666667
Turkish,10,3,14,0.7692307692,0.4166666667,0.5405405405
Macro Precision,0.6045267797,,,,,
Micro Precision,0.531,,,,,
Macro Recall,0.5385185784,,,,,
Micro Recall,0.531,,,,,
Macro F1,0.5431578481,,,,,
Micro F1,0.531,,,,,
